Gene stable ID,Gene name,Gene start (bp),Gene end (bp)
ENSG00000210049,MT-TF,577,647
ENSG00000211459,MT-RNR1,648,1601
ENSG00000210077,MT-TV,1602,1670
ENSG00000210082,MT-RNR2,1671,3229
ENSG00000209082,MT-TL1,3230,3304
ENSG00000198888,MT-ND1,3307,4262
ENSG00000210100,MT-TI,4263,4331
ENSG00000210107,MT-TQ,4329,4400
ENSG00000210112,MT-TM,4402,4469
ENSG00000198763,MT-ND2,4470,5511
ENSG00000210117,MT-TW,5512,5579
ENSG00000210127,MT-TA,5587,5655
ENSG00000210135,MT-TN,5657,5729
ENSG00000210140,MT-TC,5761,5826
ENSG00000210144,MT-TY,5826,5891
ENSG00000198804,MT-CO1,5904,7445
ENSG00000210151,MT-TS1,7446,7514
ENSG00000210154,MT-TD,7518,7585
ENSG00000198712,MT-CO2,7586,8269
ENSG00000210156,MT-TK,8295,8364
ENSG00000228253,MT-ATP8,8366,8572
ENSG00000198899,MT-ATP6,8527,9207
ENSG00000198938,MT-CO3,9207,9990
ENSG00000210164,MT-TG,9991,10058
ENSG00000198840,MT-ND3,10059,10404
ENSG00000210174,MT-TR,10405,10469
ENSG00000212907,MT-ND4L,10470,10766
ENSG00000198886,MT-ND4,10760,12137
ENSG00000210176,MT-TH,12138,12206
ENSG00000210184,MT-TS2,12207,12265
ENSG00000210191,MT-TL2,12266,12336
ENSG00000198786,MT-ND5,12337,14148
ENSG00000198695,MT-ND6,14149,14673
ENSG00000210194,MT-TE,14674,14742
ENSG00000198727,MT-CYB,14747,15887
ENSG00000210195,MT-TT,15888,15953
ENSG00000210196,MT-TP,15956,16023
ENSG00000278294,5_8S_rRNA,217250,217401
ENSG00000271254,AC240274.1,4612,29626
ENSG00000278457,5S_rRNA,380608,380726
ENSG00000278704,BX004987.1,56140,58376
ENSG00000277044,OPRL1,64097802,64100643
ENSG00000277339,NPBWR2,64105820,64107171
ENSG00000280695,AC226131.1,64143780,64147290
ENSG00000276876,MYT1,64155437,64245898
ENSG00000275018,AL121581.1,64211718,64278487
ENSG00000280663,PCMTD2,64259386,64278487
ENSG00000275433,KIR3DL3,54726054,54736537
ENSG00000273947,KIR2DL3,54738538,54753053
ENSG00000278339,KIR2DP1,54755024,54767369
ENSG00000273510,KIR2DL1,54769838,54784324
ENSG00000277560,KIR3DP1,54786463,54790318
ENSG00000276779,KIR2DL4,54803599,54814548
ENSG00000274339,LILRP1,54700593,54700905
ENSG00000276808,AC245128.39,54703952,54704235
ENSG00000274861,LILRP2,54707916,54713453
ENSG00000278079,KIR3DL1,54816470,54830813
ENSG00000277570,LILRP1,54700593,54700905
ENSG00000276306,AC245128.35,54703952,54704235
ENSG00000273502,KIR3DL3,54724478,54736594
ENSG00000275442,LILRP2,54707916,54713453
ENSG00000274696,KIR3DL3,54724453,54767462
ENSG00000276218,KIR2DL3,54738484,54752990
ENSG00000274912,KIR2DP1,54754924,54767305
ENSG00000276310,KIR2DL1,54769748,54784069
ENSG00000277484,KIR2DL3,54738471,54753005
ENSG00000278051,KIR3DP1,54786397,54790252
ENSG00000277362,KIR2DL4,54803533,54814482
ENSG00000273775,KIR3DL1,54816442,54830745
ENSG00000277995,AC025771.3,29079384,29079498
ENSG00000275151,AC025771.2,29113759,29114317
ENSG00000274882,LINC02109,29152383,29181238
ENSG00000279969,AC112172.1,29200579,29225491
ENSG00000274851,KIR2DP1,54754976,54767325
ENSG00000273526,KIR2DS4,54832771,54848624
ENSG00000274782,KIR2DL1,54769765,54784000
ENSG00000281806,AC208876.2,745961,754657
ENSG00000275416,KIR3DL2,54850500,54867258
ENSG00000280538,AC208876.1,753629,754224
ENSG00000281362,AC116609.3,784657,859032
ENSG00000273688,KIR3DP1,54786274,54790272
ENSG00000274955,KIR2DL4,54803541,54814525
ENSG00000276099,LILRP1,54698377,54700905
ENSG00000274120,LILRP2,54707916,54713453
ENSG00000275172,KIR3DL3,54724485,54736504
ENSG00000276001,LILRP1,54700593,54700905
ENSG00000278140,U6,54868982,54869088
ENSG00000274082,AC245128.15,54703952,54704235
ENSG00000276395,KIR2DS4,54832694,54847510
ENSG00000278850,KIR3DL2,54849551,54866326
ENSG00000273738,FCAR,54874290,54891462
ENSG00000276425,GU182359.6,54738476,54752501
ENSG00000273578,GU182359.1,54754600,54768961
ENSG00000276243,LILRP2,54707916,54713453
ENSG00000277070,LILRP1,54698377,54701106
ENSG00000276212,KIR3DP1,54771219,54784641
ENSG00000274786,KIR3DL3,54724451,54736098
ENSG00000277355,KIR2DL4,54789806,54800882
ENSG00000273755,LILRP2,54707916,54713341
ENSG00000274724,KIR3DL3,54724448,54736134
ENSG00000277240,LILRP1,54700593,54700905
ENSG00000276324,AC245128.37,54703952,54704235
ENSG00000277963,LILRP2,54707916,54713453
ENSG00000276379,KIR3DL1,54816496,54820397
ENSG00000278190,U6,54868050,54868156
ENSG00000274556,KIR3DL3,54724447,54736132
ENSG00000276258,GU182345.5,54738568,54752475
ENSG00000276590,KIR2DL3,54738496,54752881
ENSG00000275407,GU182345.3,54754722,54769049
ENSG00000276970,GU182358.6,54754966,54767314
ENSG00000275946,GU182345.4,54771241,54780725
ENSG00000275750,KIR2DL1,54769705,54783961
ENSG00000276676,GU182345.8,54782658,54797195
ENSG00000277376,KIR2DP1,54799680,54812030
ENSG00000274830,KIR2DL3,54738514,54753065
ENSG00000278805,KIR2DL1,54814475,54828769
ENSG00000273955,KIR2DP1,54754987,54767361
ENSG00000277176,KIR3DP1,54831023,54842954
ENSG00000273794,KIR2DL1,54769825,54784337
ENSG00000274189,KIR2DL4,54848193,54859216
ENSG00000276498,GU182359.7,54802804,54817417
ENSG00000276035,KIR3DP1,54786406,54790261
ENSG00000277964,KIR2DL4,54803571,54814487
ENSG00000275513,KIR3DL3,54724485,54736502
ENSG00000276329,KIR3DL1,54861173,54875478
ENSG00000278786,KIR3DP1,54786474,54798295
ENSG00000275637,NCR1,54906192,54910107
ENSG00000273575,KIR2DL4,54803379,54814527
ENSG00000274438,GU182351.1,54738507,54752802
ENSG00000275914,GU182351.7,54754693,54769187
ENSG00000276392,GU182359.5,54819505,54829001
ENSG00000275436,GU182351.4,54771163,54780643
ENSG00000277193,GU182359.8,54830865,54845301
ENSG00000275421,GU182359.3,54847678,54861692
ENSG00000278758,KIR3DL2,54864015,54880809
ENSG00000277272,KIR3DL1,54816451,54830756
ENSG00000277657,GU182351.10,54782575,54796808
ENSG00000277185,GU182351.9,54799454,54811769
ENSG00000278207,KIR2DL1,54814235,54828734
ENSG00000277028,KIR3DL3,54724486,54736500
ENSG00000277345,KIR2DS4,54877376,54892982
ENSG00000274948,KIR3DL1,54816448,54830767
ENSG00000276424,KIR3DL2,54895138,54911932
ENSG00000281486,SNTG2,1209102,1269668
ENSG00000275422,GU182351.3,54830833,54834726
ENSG00000275848,KIR2DL4,54848033,54858928
ENSG00000274271,LILRP1,54700593,54700905
ENSG00000277267,LILRP2,54707916,54713453
ENSG00000273887,KIR2DL3,54738479,54753050
ENSG00000277551,U6,54913656,54913762
